Date:	Monday, March 30, 2026, 5:36 PM
Measurement type:	Photoluminescence
Temperature: 	9.859 K
Integration time:	2.000 s
Excitation power:	2.596998 nW
Center wavelength	1078.132 nm / 1.150 eV
Dispersion window:	304.943 nm / 0.332 eV
Entrance slit width:	0.501 mm
Exit slit width:	0.000 mm
 	
Energy 	Powerspectrum 
(eV)	(Counts/2.000s)
Excitation power	1.1mW
	
1.007751232	10.093481446150987
1.007995217	1.2683160049877693
1.008239321	6.404353964765875
1.008483543	0.8608781140407771
1.008727883	0.9043670410661978
1.008972341	0.18907519065202177
1.009216918	-0.7219137625633438
1.009461614	3.1282207406827456
1.009706428	0.07619579133679173
1.009951361	3.710696059297917
1.010196413	1.4498812516819868
1.010441584	4.107032398721857
1.010686874	2.887914860852881
1.010932283	1.712653149007618
1.011177812	4.695082977656714
1.011423459	0.9556436192190408
1.011669226	3.4605930576663604
1.011915113	-0.5110404722910196
1.012161119	3.15853755061379
1.012407244	1.4314641760581273
1.01265349	1.5672655737885577
1.012899855	1.9556071186266797
1.01314634	-0.7187440401359235
1.013392945	3.247233235440728
1.01363967	0.4040145568420803
1.013886515	2.615180885568979
1.014133481	4.055804918453291
1.014380567	2.166192279801974
1.014627773	3.4250764906782996
1.0148751	0.833843799315476
1.015122548	2.771645642613212
1.015370116	0.3887199050173883
1.015617805	1.613932276939028
1.015865614	1.5975988539339356
1.016113545	0.8704316110941014
1.016361597	2.3183506506142213
1.01660977	1.0898227222215395
1.016858064	3.1873711305741486
1.01710648	1.9282316345571404
1.017355017	2.8690384092553876
1.017603675	3.0669887678342618
1.017852455	2.1896494036454293
1.018101357	3.5100941087150677
1.01835038	2.320501733241166
1.018599525	3.5811543293339825
1.018848793	1.1789702364912957
1.019098182	2.09490767722854
1.019347693	1.4539071839621474
1.019597327	0.47900868007573344
1.019847083	2.0474591244746363
1.020096961	1.3500785643176416
1.020346962	2.4149906769168754
1.020597085	1.2393531181355415
1.020847331	2.114301474568446
1.0210977	3.7479786386798715
1.021348191	1.979824227394561
1.021598806	3.9281522513677785
1.021849543	1.8507126243155174
1.022100404	2.5674866858707586
1.022351387	1.0203812215114307
1.022602495	2.6720878724844717
1.022853725	1.5984650202395903
1.023105079	1.7895338210977747
1.023356556	1.9067380722793896
1.023608158	1.9782384177998893
1.023859883	2.315289649642389
1.024111731	3.011001038441072
1.024363704	2.373359642329104
1.024615801	2.2929511991050293
1.024868022	1.9662778939133028
1.025120367	3.533716303481796
1.025372836	1.8310995463189734
1.02562543	2.048373445016782
1.025878148	1.3693870838819027
1.026130991	1.9286862041491026
1.026383958	1.929931878750819
1.02663705	2.179558654688251
1.026890267	2.2923701265820524
1.027143609	1.981174615995265
1.027397076	2.3162122675567907
1.027650668	2.1190958143897944
1.027904386	2.5350995959027074
1.028158228	2.6518469607406203
1.028412196	2.4320129429327557
1.02866629	2.937990502717701
1.028920509	1.6383548906605976
