Date:	Monday, March 30, 2026, 5:42 PM
Measurement type:	Photoluminescence
Temperature: 	9.854 K
Integration time:	0.600 s
Excitation power:	9.508265 nW
Center wavelength	1078.132 nm / 1.150 eV
Dispersion window:	304.943 nm / 0.332 eV
Entrance slit width:	0.501 mm
Exit slit width:	0.000 mm
 	
Energy 	Powerspectrum 
(eV)	(Counts/0.600s)
Excitation power	30.04mW
	
1.007751232	-41.98658070117635
1.007995217	-19.605848763629965
1.008239321	-32.33576116965973
1.008483543	-25.0867702145311
1.008727883	-36.16511291185343
1.008972341	-20.489862716874637
1.009216918	-34.38014788748289
1.009461614	-26.85742504503588
1.009706428	-38.56431540527643
1.009951361	-20.087896210133206
1.010196413	-40.80574381248406
1.010441584	-17.774200084327138
1.010686874	-30.509156536449687
1.010932283	-13.43863813943409
1.011177812	-27.002805296673166
1.011423459	-16.12396183807327
1.011669226	-24.41798639232405
1.011915113	-19.04330515318458
1.012161119	-30.706658834834997
1.012407244	-19.029121929250582
1.01265349	-29.744106567038163
1.012899855	-15.95080925894911
1.01314634	-38.72311520379956
1.013392945	-13.060833116365758
1.01363967	-34.373968010196215
1.013886515	-8.366814732689596
1.014133481	-27.9010427457676
1.014380567	-8.787243444246892
1.014627773	-24.28612058724514
1.0148751	-10.184430153105852
1.015122548	-18.323899200054136
1.015370116	-16.370557280360924
1.015617805	-13.93742888001059
1.015865614	-15.131905065805709
1.016113545	-17.864350717285237
1.016361597	-14.990661602108283
1.01660977	-25.08183076281202
1.016858064	-10.77337942127697
1.01710648	-27.398992209654345
1.017355017	-6.261256473975505
1.017603675	-22.159967699658985
1.017852455	-3.9838287288234557
1.018101357	-14.114108694367097
1.01835038	-9.365299148161554
1.018599525	-14.803432882585874
1.018848793	-8.637211941645779
1.019098182	-10.486985768501377
1.019347693	-15.506014962297991
1.019597327	-15.026914210141301
1.019847083	-7.394851256244223
1.020096961	-21.337227637061616
1.020346962	-7.758961931212736
1.020597085	-18.277304846758152
1.020847331	-2.9207964619309585
1.0210977	-19.88724567712041
1.021348191	-2.551442716382757
1.021598806	-9.60885999386751
1.021849543	-2.2180873804192256
1.022100404	-8.11892233677017
1.022351387	-4.7884305677197405
1.022602495	-6.506186436249559
1.022853725	-7.9317533921896874
1.023105079	-7.983830769344777
1.023356556	-7.986676889861842
1.023608158	-9.969984600340625
1.023859883	-5.032573386750939
1.024111731	-15.918332967559271
1.024363704	-2.8800614481991818
1.024615801	-14.485756642830696
1.024868022	-0.29486497990941085
1.025120367	-8.599841190882241
1.025372836	-1.9333733652465364
1.02562543	-3.136277258498376
1.025878148	-1.5635423634922188
1.026130991	-2.2794125805316923
1.026383958	-5.939404370292523
1.02663705	-3.3736125366145884
1.026890267	-3.3163430886887104
1.027143609	-6.630196335008346
1.027397076	-2.215874464633908
1.027650668	-10.92156526132721
1.027904386	0.2644856724958652
1.028158228	-8.998691034351852
1.028412196	-0.31990913439949864
1.02866629	-2.5951272825970624
1.028920509	-0.04692120120263171
1.029174854	-3.2311774624915146
1.029429325	-1.4411952913303818
1.029683921	-2.0616479437699073
1.029938643	0.11623228984335426
1.030193492	-1.5896536885988741
1.030448467	-2.2336781014970906
1.030703568	-2.6745307515841987
1.030958795	1.0422241167715967
1.031214148	-4.79426083992171
1.031469629	1.3485691844561762
1.031725236	-0.6560252797825928
1.031980969	3.3169282040298786
1.032236829	-2.300409772080076
1.032492817	1.401665758107225
1.032748931	1.7313872191650814
1.033005172	0.7537341234925918
1.033261541	0.29250429477876994
1.033518037	1.6710345273528848
1.03377466	0.5339029434559026
1.03403141	2.890472738439596
1.034288289	0.2794025864209358
1.034545294	2.7337122041701236
1.034802428	-0.43899753156802107
1.03505969	3.384869639566844
1.035317079	0.5639399178396624
1.035574597	4.834994876476973
1.035832242	1.6483763670151628
1.036090016	4.805867744185202
1.036347918	3.861341338309801
1.036605949	3.4473825675812177
1.036864108	2.612502171635273
1.037122396	4.8140211128935215
1.037380812	1.6608940952728513
1.037639357	4.966739881347806
